properties.type,properties.timing,properties.speciesId,properties.date,properties.createdAt,geometry.coordinates
normal,night,113,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.42079613866865,37.79147758718155]"
fire,night,6,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.38974282729109,37.79127831177553]"
fire,night,4,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.38876458467527,37.78989532534689]"
fire,night,5,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.4825394800188,37.748715938139796]"
fairy,night,36,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.41803676411645,37.78323184242957]"
fairy,night,35,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.44864209484611,37.77224008621501]"
ground,night,104,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.466411309464,37.76591195264987]"
ground,night,50,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.40344625028843,37.768492557580146]"
normal,night,84,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.39564586704334,37.722454876247326]"
dragon,night,149,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.47731569163801,37.73593346904249]"
dragon,night,147,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.50776222155812,37.74537050007429]"
normal,night,133,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.43697417611506,37.77117234495965]"
poison,night,23,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.45802974781719,37.76965176528421]"
electric,night,125,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.37468863130657,37.73848756458651]"
bug,day,11,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-121.48761364042895,38.57956939752643]"
normal,night,22,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.42685154909034,37.759442563299416]"
grass,night,102,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.46684725043221,37.76813903921956]"
ghost,night,92,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.45929138826028,37.78571367231075]"
ghost,night,94,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.38943304857528,37.75960022623134]"
water,night,118,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.38815439448308,37.74749219880766]"
poison,night,42,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.4002990239716,37.79491857424334]"
water,night,55,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.41446722983038,37.72186569007931]"
poison,night,88,2016-07-12T07:00:00.000Z,2016-07-13T06:37:48.240Z,"[-122.51112169743183,37.771380171124704]"
ghost,night,94,2016-07-12T04:00:00.000Z,2016-07-13T06:37:48.240Z,"[-79.44371709927381,43.65905796351478]"
bug,day,15,2016-07-12T07:00:00.000Z,2016-07-13T06:40:43.838Z,"[-121.48709006937588,38.58215505557263]"
fighting,day,56,2016-07-13T07:00:00.000Z,2016-07-13T07:06:28.988Z,"[-118.33950509416923,34.1011261548271]"
rock,day,95,2016-07-13T07:00:00.000Z,2016-07-13T07:08:06.917Z,"[-118.29780857888576,34.06176083144955]"
fire,day,58,2016-07-13T07:00:00.000Z,2016-07-13T07:08:51.249Z,"[-118.29918793215293,34.06176884115381]"
rock,day,140,2016-07-13T07:00:00.000Z,2016-07-13T07:09:27.313Z,"[-118.34014434905896,34.101350891858715]"
fire,day,58,2016-07-13T07:00:00.000Z,2016-07-13T07:10:17.250Z,"[-118.29197748544735,34.10034002941221]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-13T07:11:25.370Z,"[-118.34069153158657,34.101282463724104]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T07:11:42.482Z,"[-118.29392834354405,34.10027854923625]"
rock,day,140,2016-07-13T07:00:00.000Z,2016-07-13T07:12:59.310Z,"[-118.4966981819767,34.009914112632686]"
bug,day,12,2016-07-13T07:00:00.000Z,2016-07-13T07:17:20.614Z,"[-118.42758392733211,34.01789314292188]"
bug,day,10,2016-07-13T07:00:00.000Z,2016-07-13T07:17:28.022Z,"[-118.42909942027129,34.01731616209233]"
bug,day,13,2016-07-13T07:00:00.000Z,2016-07-13T07:17:35.879Z,"[-118.42672156819361,34.01791637892289]"
fighting,day,106,2016-07-13T07:00:00.000Z,2016-07-13T07:18:11.766Z,"[-118.46028859766334,34.006256540747856]"
bug,day,123,2016-07-13T07:00:00.000Z,2016-07-13T07:18:57.207Z,"[-118.43164149706425,33.98396592167383]"
fire,day,126,2016-07-13T07:00:00.000Z,2016-07-13T07:24:59.317Z,"[-118.38481439140278,33.88847573683361]"
electric,day,125,2016-07-13T07:00:00.000Z,2016-07-13T07:25:42.355Z,"[-118.37739269929612,33.88831496771094]"
rock,day,95,2016-07-13T07:00:00.000Z,2016-07-13T07:26:28.768Z,"[-118.47266550208047,34.17390149370722]"
water,day,129,2016-07-13T07:00:00.000Z,2016-07-13T07:27:09.334Z,"[-118.49756663640568,34.009020564312195]"
water,day,129,2016-07-13T07:00:00.000Z,2016-07-13T07:27:22.527Z,"[-118.41327969120596,33.88379571382056]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T07:28:58.569Z,"[-118.29335145495631,33.78481689897454]"
electric,day,25,2016-07-13T07:00:00.000Z,2016-07-13T07:29:45.410Z,"[-118.27749307856453,34.05858465677072]"
grass,day,2,2016-07-11T07:00:00.000Z,2016-07-13T07:30:09.135Z,"[-121.74658187606593,38.55883384527485]"
fire,day,4,2016-07-13T07:00:00.000Z,2016-07-13T07:30:35.368Z,"[-118.262973188073,34.052118968969694]"
grass,day,2,2016-07-12T07:00:00.000Z,2016-07-13T07:31:22.117Z,"[-121.74514162996807,38.555533434011664]"
bug,day,127,2016-07-13T07:00:00.000Z,2016-07-13T07:31:28.692Z,"[-118.25520313934263,34.05035659589224]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-13T07:31:49.595Z,"[-118.2458440386637,34.05539359460663]"
grass,day,3,2016-07-10T07:00:00.000Z,2016-07-13T07:32:02.985Z,"[-121.73801222784022,38.54042726244464]"
fire,day,4,2016-07-13T07:00:00.000Z,2016-07-13T07:33:04.141Z,"[-118.35528601669401,34.06320712552868]"
fighting,day,107,2016-07-13T07:00:00.000Z,2016-07-13T07:33:39.081Z,"[-118.35092160108186,34.092188044169035]"
grass,day,1,2016-07-12T07:00:00.000Z,2016-07-13T07:37:37.120Z,"[-121.74932001172152,38.541034328582555]"
grass,day,2,2016-07-12T07:00:00.000Z,2016-07-13T07:37:57.858Z,"[-121.74957597057596,38.54250175689924]"
fire,day,4,2016-07-12T07:00:00.000Z,2016-07-13T07:38:38.867Z,"[-121.7314912373391,38.54424633158405]"
fire,day,4,2016-07-10T07:00:00.000Z,2016-07-13T07:39:46.635Z,"[-121.74369039197205,38.544030566781714]"
fire,day,5,2016-07-09T07:00:00.000Z,2016-07-13T07:40:42.030Z,"[-121.7462035245774,38.55962512908019]"
fire,day,5,2016-07-12T07:00:00.000Z,2016-07-13T07:41:12.806Z,"[-121.75020758739674,38.56777238625301]"
fire,day,6,2016-07-11T07:00:00.000Z,2016-07-13T07:41:39.741Z,"[-121.50471879977296,38.58302264809231]"
water,day,7,2016-07-12T07:00:00.000Z,2016-07-13T07:42:26.075Z,"[-121.75180984395534,38.54594057552873]"
water,day,7,2016-07-11T07:00:00.000Z,2016-07-13T07:43:02.243Z,"[-121.7436206710619,38.53922447118714]"
water,day,8,2016-07-08T07:00:00.000Z,2016-07-13T07:44:13.202Z,"[-121.751700717892,38.571376478463236]"
bug,day,12,2016-07-11T07:00:00.000Z,2016-07-13T07:46:30.118Z,"[-121.70235232237911,38.55603518339021]"
bug,day,15,2016-07-12T07:00:00.000Z,2016-07-13T07:47:33.431Z,"[-121.77031475454652,38.550507148709784]"
normal,day,18,2016-07-09T07:00:00.000Z,2016-07-13T07:48:33.929Z,"[-121.74451383698468,38.54493706707055]"
electric,day,81,2016-07-13T07:00:00.000Z,2016-07-13T07:49:16.479Z,"[-73.97354072479048,40.754671656013414]"
normal,day,22,2016-07-11T07:00:00.000Z,2016-07-13T07:49:42.102Z,"[-121.74899062066729,38.57156152311569]"
normal,day,22,2016-07-12T07:00:00.000Z,2016-07-13T07:50:15.148Z,"[-121.74116558398086,38.542292798457055]"
electric,day,100,2016-07-13T07:00:00.000Z,2016-07-13T07:50:59.056Z,"[-73.98510064374942,40.719712803266134]"
poison,day,24,2016-07-12T07:00:00.000Z,2016-07-13T07:51:15.175Z,"[-121.74342821726029,38.55848902035524]"
normal,day,133,2016-07-13T07:00:00.000Z,2016-07-13T07:51:44.412Z,"[-73.8815579063975,40.7199443766244]"
normal,day,84,2016-07-13T07:00:00.000Z,2016-07-13T07:51:54.985Z,"[-73.87884389087483,40.72026258271748]"
electric,day,25,2016-07-12T07:00:00.000Z,2016-07-13T07:52:11.649Z,"[-121.75903354778883,38.5427688984349]"
electric,day,26,2016-07-10T07:00:00.000Z,2016-07-13T07:52:47.973Z,"[-121.74981238683148,38.54129370991609]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T07:53:18.048Z,"[-73.84437042580704,40.74171127650499]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T07:53:31.103Z,"[-73.80651051674491,40.74728018499596]"
ground,day,28,2016-07-12T07:00:00.000Z,2016-07-13T07:53:42.650Z,"[-121.74934620694268,38.539609545654486]"
poison,night,29,2016-07-08T07:00:00.000Z,2016-07-13T07:54:08.829Z,"[-121.74473327089113,38.54552717117198]"
poison,day,31,2016-07-08T07:00:00.000Z,2016-07-13T07:55:01.093Z,"[-121.74920869753777,38.566286938086506]"
normal,day,137,2016-07-13T07:00:00.000Z,2016-07-13T07:55:09.440Z,"[-73.94653262223818,40.765101991702835]"
normal,day,143,2016-07-13T07:00:00.000Z,2016-07-13T07:55:50.643Z,"[-73.9671949114325,40.7863377210073]"
fairy,day,35,2016-07-07T07:00:00.000Z,2016-07-13T07:56:16.082Z,"[-121.74625409057998,38.54871888136509]"
fire,day,4,2016-07-13T07:00:00.000Z,2016-07-13T07:56:22.712Z,"[-73.97408699242747,40.78124333779121]"
fire,night,37,2016-07-11T07:00:00.000Z,2016-07-13T07:56:35.653Z,"[-121.75937826390954,38.54284275983673]"
normal,day,39,2016-07-08T07:00:00.000Z,2016-07-13T07:57:02.775Z,"[-121.75922946275529,38.54342510686962]"
fire,day,4,2016-07-13T07:00:00.000Z,2016-07-13T07:57:18.757Z,"[-74.02203610510061,40.63704295130236]"
grass,day,43,2016-07-12T07:00:00.000Z,2016-07-13T07:57:21.632Z,"[-121.744201709684,38.545544989877214]"
grass,night,44,2016-07-08T07:00:00.000Z,2016-07-13T07:57:45.249Z,"[-121.74449820858366,38.54518343539388]"
fire,day,5,2016-07-13T07:00:00.000Z,2016-07-13T07:58:03.628Z,"[-74.01719131271638,40.70382649762058]"
bug,night,49,2016-07-07T07:00:00.000Z,2016-07-13T07:58:16.108Z,"[-121.74553930947253,38.541068682631874]"
normal,night,52,2016-07-10T07:00:00.000Z,2016-07-13T07:58:48.141Z,"[-121.75262408225069,38.533460511829816]"
normal,night,52,2016-07-07T07:00:00.000Z,2016-07-13T07:58:58.380Z,"[-121.75221031389336,38.533917303258335]"
normal,night,53,2016-07-10T07:00:00.000Z,2016-07-13T07:59:36.791Z,"[-121.75114166805622,38.5410033524646]"
electric,day,125,2016-07-13T07:00:00.000Z,2016-07-13T07:59:40.692Z,"[-73.99982303944887,40.71431634096902]"
grass,day,71,2016-07-13T07:00:00.000Z,2016-07-13T08:00:19.960Z,"[-73.94202661008185,40.74619073665346]"
grass,day,1,2016-07-13T07:00:00.000Z,2016-07-13T08:00:55.111Z,"[-74.00501604330202,40.75631401331441]"
poison,day,42,2016-07-13T07:00:00.000Z,2016-07-13T08:01:27.020Z,"[-74.0024587032784,40.75281988312241]"
water,day,54,2016-07-09T07:00:00.000Z,2016-07-13T08:01:34.078Z,"[-121.7452047901772,38.56039851598271]"
electric,day,25,2016-07-13T07:00:00.000Z,2016-07-13T08:02:02.087Z,"[-73.98132775390836,40.758517528899546]"
fire,day,58,2016-07-13T07:00:00.000Z,2016-07-13T08:02:11.605Z,"[-73.98233588391219,40.757145888809674]"
fighting,day,56,2016-07-08T07:00:00.000Z,2016-07-13T08:02:24.708Z,"[-121.73207789291817,38.53646955225156]"
fighting,day,57,2016-07-10T07:00:00.000Z,2016-07-13T08:02:35.485Z,"[-121.73199467738574,38.53662739219692]"
water,day,60,2016-07-13T07:00:00.000Z,2016-07-13T08:02:56.470Z,"[-73.99037520147274,40.73572819770365]"
poison,day,41,2016-07-13T07:00:00.000Z,2016-07-13T08:03:03.732Z,"[-73.99117321929427,40.7353986977181]"
normal,day,128,2016-07-13T07:00:00.000Z,2016-07-13T08:04:12.083Z,"[-74.00948693092391,40.70639603909922]"
fire,day,77,2016-07-13T07:00:00.000Z,2016-07-13T08:04:58.941Z,"[-73.97436716563732,40.75639620613376]"
electric,day,25,2016-07-13T07:00:00.000Z,2016-07-13T08:05:29.086Z,"[-73.98323654678954,40.75317723633259]"
electric,day,25,2016-07-13T07:00:00.000Z,2016-07-13T08:07:03.487Z,"[-73.9876998936736,40.72433266959351]"
normal,day,133,2016-07-13T07:00:00.000Z,2016-07-13T08:08:21.240Z,"[-73.98794153775185,40.69668542114647]"
normal,day,16,2016-07-13T07:00:00.000Z,2016-07-13T08:11:26.796Z,"[-71.12233024736351,42.39636172874833]"
bug,day,10,2016-07-13T07:00:00.000Z,2016-07-13T08:11:31.845Z,"[-71.12261846720777,42.396611817947644]"
rock,day,140,2016-07-13T07:00:00.000Z,2016-07-13T08:13:58.104Z,"[-70.93874772075401,42.44440283712004]"
fire,day,37,2016-07-13T07:00:00.000Z,2016-07-13T08:16:56.840Z,"[-71.09358939576053,42.38167095041172]"
ice,day,124,2016-07-13T07:00:00.000Z,2016-07-13T08:17:24.045Z,"[-71.11927326637883,42.375936760368404]"
psychic,day,97,2016-07-13T07:00:00.000Z,2016-07-13T08:17:36.482Z,"[-71.12199682455082,42.373015469783695]"
water,day,86,2016-07-13T07:00:00.000Z,2016-07-13T08:17:48.600Z,"[-71.12037891885939,42.369540812585456]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-13T08:18:11.136Z,"[-71.12350665825828,42.35278938475301]"
water,day,116,2016-07-13T07:00:00.000Z,2016-07-13T08:18:27.038Z,"[-71.12768205708856,42.35285448951467]"
water,day,7,2016-07-13T07:00:00.000Z,2016-07-13T08:18:37.371Z,"[-71.13183963184294,42.35291148233665]"
electric,day,100,2016-07-13T07:00:00.000Z,2016-07-13T08:19:06.695Z,"[-71.03172684281772,42.34370862289779]"
water,day,7,2016-07-13T07:00:00.000Z,2016-07-13T08:19:20.176Z,"[-71.04947182420167,42.35906429870954]"
electric,day,81,2016-07-13T07:00:00.000Z,2016-07-13T08:19:44.304Z,"[-71.05539615466664,42.35992051593715]"
ice,day,124,2016-07-13T07:00:00.000Z,2016-07-13T08:20:01.521Z,"[-71.05730009645316,42.36209516710073]"
electric,day,25,2016-07-13T07:00:00.000Z,2016-07-13T08:20:19.643Z,"[-71.06736463229197,42.359876279822316]"
normal,day,39,2016-07-13T07:00:00.000Z,2016-07-13T08:20:33.395Z,"[-71.06859515140357,42.35473130502143]"
normal,day,39,2016-07-13T07:00:00.000Z,2016-07-13T08:20:40.395Z,"[-71.0710128281417,42.35358905371098]"
water,day,120,2016-07-13T07:00:00.000Z,2016-07-13T08:20:50.287Z,"[-71.07429242733883,42.3561216403605]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T08:20:57.314Z,"[-71.07371766983627,42.35609771668308]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T08:21:11.975Z,"[-71.07812703507258,42.351820128662894]"
grass,day,69,2016-07-13T07:00:00.000Z,2016-07-13T08:21:41.064Z,"[-71.09493738064155,42.348063417860544]"
water,day,116,2016-07-13T07:00:00.000Z,2016-07-13T08:22:01.957Z,"[-71.09298570033303,42.36145222852042]"
normal,day,133,2016-07-13T07:00:00.000Z,2016-07-13T08:22:14.901Z,"[-71.08644574662495,42.361988091843045]"
normal,day,137,2016-07-13T07:00:00.000Z,2016-07-13T08:22:38.342Z,"[-71.08295150430774,42.36167179683943]"
water,day,119,2016-07-13T07:00:00.000Z,2016-07-13T08:22:57.598Z,"[-71.08595219990052,42.365783535480006]"
water,day,121,2016-07-13T07:00:00.000Z,2016-07-13T08:23:08.355Z,"[-71.07684552465686,42.36571155786268]"
water,day,60,2016-07-13T07:00:00.000Z,2016-07-13T08:24:03.799Z,"[-71.10982229692522,42.35460183905914]"
water,day,60,2016-07-13T07:00:00.000Z,2016-07-13T08:24:21.811Z,"[-71.12854481404807,42.36340955082221]"
fighting,day,66,2016-07-07T07:00:00.000Z,2016-07-13T08:24:52.946Z,"[-121.49018519426173,38.57819710557334]"
fire,night,4,2016-07-09T07:00:00.000Z,2016-07-13T08:25:23.158Z,"[-121.49146419001619,38.58215899051743]"
poison,day,34,2016-07-13T07:00:00.000Z,2016-07-13T08:25:34.729Z,"[-71.10439296679468,42.365344007825115]"
poison,night,32,2016-07-07T07:00:00.000Z,2016-07-13T08:25:46.204Z,"[-121.49249396338448,38.56466345292182]"
normal,day,133,2016-07-13T07:00:00.000Z,2016-07-13T08:25:51.481Z,"[-71.10373902347594,42.365546888199276]"
ground,night,111,2016-07-09T07:00:00.000Z,2016-07-13T08:25:52.085Z,"[-121.48919071863818,38.58354913690766]"
normal,night,52,2016-07-11T07:00:00.000Z,2016-07-13T08:26:17.598Z,"[-121.49195761290619,38.57955673266923]"
bug,night,13,2016-07-07T07:00:00.000Z,2016-07-13T08:26:17.891Z,"[-121.49092961399076,38.56488074463098]"
electric,day,25,2016-07-13T07:00:00.000Z,2016-07-13T08:26:30.794Z,"[-71.0671783744311,42.343602333187135]"
ghost,day,92,2016-07-13T07:00:00.000Z,2016-07-13T08:26:49.884Z,"[-71.0719217792816,42.34394461049419]"
poison,day,41,2016-07-07T07:00:00.000Z,2016-07-13T08:26:55.258Z,"[-121.48677737782575,38.5779313267023]"
ground,night,27,2016-07-10T07:00:00.000Z,2016-07-13T08:27:14.334Z,"[-121.48428271330943,38.580311910414736]"
ground,day,27,2016-07-07T07:00:00.000Z,2016-07-13T08:27:21.176Z,"[-121.48834239340624,38.57767138229099]"
fighting,night,56,2016-07-10T07:00:00.000Z,2016-07-13T08:27:27.316Z,"[-121.4784649914026,38.57731100160785]"
fighting,night,56,2016-07-09T07:00:00.000Z,2016-07-13T08:27:42.548Z,"[-121.47946722123481,38.57416001042472]"
poison,day,42,2016-07-08T07:00:00.000Z,2016-07-13T08:27:49.897Z,"[-121.4924936003111,38.58242967444096]"
normal,day,22,2016-07-13T07:00:00.000Z,2016-07-13T08:27:52.475Z,"[-71.0893551022917,42.33637597640049]"
poison,night,41,2016-07-08T07:00:00.000Z,2016-07-13T08:28:06.498Z,"[-121.48170278825017,38.579587936210686]"
bug,day,46,2016-07-08T07:00:00.000Z,2016-07-13T08:28:10.625Z,"[-121.49268094715862,38.58210273288299]"
fire,day,4,2016-07-13T07:00:00.000Z,2016-07-13T08:28:12.528Z,"[-71.09340165284054,42.34084089702699]"
poison,night,23,2016-07-10T07:00:00.000Z,2016-07-13T08:28:30.643Z,"[-121.4818774838082,38.57725402769785]"
normal,day,133,2016-07-08T07:00:00.000Z,2016-07-13T08:28:44.629Z,"[-121.49478918867723,38.58079780806037]"
fire,night,58,2016-07-10T07:00:00.000Z,2016-07-13T08:28:53.330Z,"[-121.4799550628577,38.57669530135112]"
ice,day,124,2016-07-13T07:00:00.000Z,2016-07-13T08:29:04.952Z,"[-71.11019322921521,42.397409649212676]"
ground,night,27,2016-07-10T07:00:00.000Z,2016-07-13T08:29:05.208Z,"[-121.48221694446195,38.574832944581345]"
bug,day,48,2016-07-09T07:00:00.000Z,2016-07-13T08:29:14.433Z,"[-121.4938080614076,38.58102784087865]"
rock,night,140,2016-07-10T07:00:00.000Z,2016-07-13T08:29:24.775Z,"[-121.48068811867857,38.57823389828502]"
bug,day,127,2016-07-13T07:00:00.000Z,2016-07-13T08:29:30.144Z,"[-71.11307414953365,42.394377537409724]"
psychic,day,64,2016-07-09T07:00:00.000Z,2016-07-13T08:29:35.258Z,"[-121.4928205555897,38.581813660710935]"
fighting,night,66,2016-07-10T07:00:00.000Z,2016-07-13T08:29:43.850Z,"[-121.4802779414197,38.571918541071085]"
poison,night,29,2016-07-10T07:00:00.000Z,2016-07-13T08:30:01.658Z,"[-121.48593360016505,38.573177166098446]"
normal,day,20,2016-07-09T07:00:00.000Z,2016-07-13T08:30:10.492Z,"[-121.49098106184806,38.57904235309812]"
water,day,120,2016-07-13T07:00:00.000Z,2016-07-13T08:30:14.041Z,"[-71.05084739476803,42.387526759790916]"
poison,night,23,2016-07-10T07:00:00.000Z,2016-07-13T08:30:23.185Z,"[-121.47724225382248,38.572311485784695]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-13T08:30:26.387Z,"[-71.04816563540969,42.38278899331968]"
ground,night,104,2016-07-10T07:00:00.000Z,2016-07-13T08:30:38.703Z,"[-121.47434939122617,38.572544663082]"
ground,day,111,2016-07-09T07:00:00.000Z,2016-07-13T08:30:38.975Z,"[-121.48928773636422,38.579222181161896]"
rock,night,74,2016-07-10T07:00:00.000Z,2016-07-13T08:31:03.726Z,"[-121.4847194865797,38.580394651918084]"
normal,day,16,2016-07-09T07:00:00.000Z,2016-07-13T08:31:11.821Z,"[-121.48873951001318,38.58024858075737]"
normal,night,133,2016-07-10T07:00:00.000Z,2016-07-13T08:31:24.723Z,"[-121.48589804156217,38.58093201410583]"
normal,day,21,2016-07-09T07:00:00.000Z,2016-07-13T08:32:01.022Z,"[-121.48315625459188,38.58295737928424]"
ground,night,27,2016-07-10T07:00:00.000Z,2016-07-13T08:32:04.822Z,"[-121.48017793130137,38.57570830522522]"
bug,night,46,2016-07-10T07:00:00.000Z,2016-07-13T08:32:20.064Z,"[-121.48178978790237,38.57218898670766]"
bug,night,48,2016-07-10T07:00:00.000Z,2016-07-13T08:32:40.809Z,"[-121.48350671090515,38.578124067034594]"
poison,day,23,2016-07-10T07:00:00.000Z,2016-07-13T08:32:44.109Z,"[-121.4876735692504,38.57749270455366]"
bug,night,46,2016-07-10T07:00:00.000Z,2016-07-13T08:33:05.612Z,"[-121.47548957987412,38.57307787962691]"
fighting,day,56,2016-07-10T07:00:00.000Z,2016-07-13T08:33:06.980Z,"[-121.48814548893748,38.577102199573005]"
fire,night,58,2016-07-10T07:00:00.000Z,2016-07-13T08:33:16.879Z,"[-121.47158758315106,38.572031564517914]"
bug,day,13,2016-07-13T07:00:00.000Z,2016-07-13T08:33:35.262Z,"[-77.03626696361411,38.8974222790786]"
normal,night,84,2016-07-10T07:00:00.000Z,2016-07-13T08:33:35.561Z,"[-121.47319823917607,38.572386211893615]"
fire,day,58,2016-07-10T07:00:00.000Z,2016-07-13T08:33:42.026Z,"[-121.4895478332871,38.578598015750686]"
fighting,night,56,2016-07-10T07:00:00.000Z,2016-07-13T08:33:52.943Z,"[-121.47037808198219,38.57249229310926]"
fighting,night,56,2016-07-10T07:00:00.000Z,2016-07-13T08:34:12.674Z,"[-121.47059284934053,38.57201964225783]"
normal,day,52,2016-07-10T07:00:00.000Z,2016-07-13T08:34:18.031Z,"[-121.48941459166855,38.57865794101815]"
ground,night,27,2016-07-10T07:00:00.000Z,2016-07-13T08:34:28.465Z,"[-121.4693563653216,38.57413910223039]"
normal,day,84,2016-07-13T07:00:00.000Z,2016-07-13T08:34:34.277Z,"[-77.0281450373417,38.917021607441995]"
fire,day,37,2016-07-13T07:00:00.000Z,2016-07-13T08:34:47.296Z,"[-77.02935327047723,38.90948851759262]"
ground,day,104,2016-07-10T07:00:00.000Z,2016-07-13T08:34:49.715Z,"[-121.48946352320773,38.57857085210591]"
ground,night,111,2016-07-10T07:00:00.000Z,2016-07-13T08:34:54.185Z,"[-121.47763948095844,38.57328586485929]"
bug,night,46,2016-07-10T07:00:00.000Z,2016-07-13T08:35:08.977Z,"[-121.48276868953033,38.57006653107476]"
normal,night,21,2016-07-10T07:00:00.000Z,2016-07-13T08:35:19.274Z,"[-121.4822188480968,38.570902561474156]"
normal,day,143,2016-07-13T07:00:00.000Z,2016-07-13T08:35:33.950Z,"[-77.02198813887861,38.899770231479465]"
normal,night,19,2016-07-10T07:00:00.000Z,2016-07-13T08:35:36.411Z,"[-121.48060489194793,38.57506130073918]"
fire,day,77,2016-07-10T07:00:00.000Z,2016-07-13T08:35:48.375Z,"[-121.49017306065335,38.57698202631832]"
